sample_id,canonical_drug_id,pred_xgb,pred_residualmlp,pred_gcn,ensemble_score,rank,is_top100
HCC1419,288,0.11157553642988205,3.688840627670288,3.8897666931152344,1.9403932951390743,8217,False
HCC1428,2145,1.1782171726226807,4.219289302825928,0.42503678798675537,1.9399027347564697,8218,False
HCC1428,272,1.1782171726226807,4.219289302825928,0.42455387115478516,1.9398061513900755,8219,False
MDA-MB-436,1730,0.8211526274681091,3.6312878131866455,2.197655439376831,1.9394937455654144,8220,False
HCC1187,1785,0.6556668877601624,2.3069424629211426,4.587376117706299,1.9373914062976838,8221,False
HCC1428,1926,1.1782171726226807,4.219289302825928,0.41189855337142944,1.9372750878334044,8222,False
HCC1187,2037,0.6556668877601624,2.3069424629211426,4.586551666259766,1.9372265160083773,8223,False
HCC1428,381,1.1782171726226807,4.219289302825928,0.4017198383808136,1.9352393448352814,8224,False
HCC1187,1620,0.6556668877601624,2.3069424629211426,4.573424339294434,1.9346010506153108,8225,False
HCC1187,1784,0.6556668877601624,2.3069424629211426,4.569244384765625,1.933765059709549,8226,False
HCC1428,1460,1.1782171726226807,4.219289302825928,0.3939144015312195,1.9336782574653624,8227,False
HCC1428,449,1.1782171726226807,4.219289302825928,0.3926822245121002,1.9334318220615385,8228,False
HCC1428,317,1.1782171726226807,4.219289302825928,0.38988757133483887,1.9328728914260864,8229,False
HCC1419,1129,0.11157553642988205,3.688840627670288,3.8509294986724854,1.9326258562505245,8230,False
HCC1428,1230,1.1782171726226807,4.219289302825928,0.38810765743255615,1.9325169086456297,8231,False
HCC1428,136,1.1782171726226807,4.219289302825928,0.3866899311542511,1.9322333633899689,8232,False
